产品名,网址,给谁用,输入,输出,价格,解决什么问题,为什么值得继续看,AITDK月访问量,Top Keywords,Top Regions
OpusClip,https://www.opus.pro/,长视频创作者、播客、营销代理、媒体公司,长视频（YouTube/Zoom/Vimeo 等）,病毒式短视频切片（带字幕、B-roll、AI 评分）,免费；Starter $15/月；Pro $29/月,长视频转短视频全自动化，Virality Score 预测爆款，MrBeast/Ali Abdaal 背书,4.1-5.76M/月，长短视频再利用赛道第一,4.1M（Toolify）；airukou 口径 5.76M,opus clip、opusclip、opus、opus clips、opus pro,美国 34.92-35.67%、巴西 9.55-10.38%、印度 4.35-5.21%、英国 4.61-5%、菲律宾 3.18-3.88%
Veed,https://www.veed.io/,社媒创作者、营销团队、字幕需求用户,视频、文本、音频,编辑后视频、字幕、AI 视频,免费；$12/月起,在线视频编辑器 + AI 字幕/翻译/数字人，「无需账号免费用」的 SEO 策略，video compressor 等工具词引流,9.2-13.28M/月，SEO 驱动（工具词矩阵）的增长样本,9.2M（Toolify）；AI效率工具集口径 13.28M,veed、veed io、video compressor、ai video generator、compress video,印度 14.13%、美国 12.73%、巴西 4.39%、俄罗斯 3.95%、英国 3.43%
CapCut（剪映国际版）,https://www.capcut.com/,全球短视频创作者、TikTok 用户,视频、文本、图片,编辑后视频、AI 生成内容,免费；Pro 订阅,字节旗下免费编辑器，AI 配音/字幕/模板生态，移动端 MAU 超 5 亿,40.4M 网页月访问 + 移动 MAU 5 亿，视频编辑赛道绝对头部，AI 功能全免费，与剪映/即梦同属字节生态,40.4M（猫目，网页端）,capcut、capcut online、video editor,巴西 25.8%、印尼 15.19%、美国 8.54%、越南 4.3%、菲律宾 2.87%
InVideo AI,https://invideo.io/,营销人员、自媒体、无编辑经验的用户,文本提示、URL,带素材/配音/字幕的完整视频,免费；$25/月起,一句话生成完整营销视频（脚本+素材+配音），5000+ 模板,6.8M/月，「提示词到成片」模式代表,6.8M（Toolify）,invideo ai、invideo、ai video generator、image to video ai、video compressor,美国 14.7%、印度 13.64%、巴西 5.68%、英国 3.25%、巴基斯坦 2.98%
Krea AI,https://www.krea.ai/,设计师、插画师、电商运营、内容团队,文本、图片、手绘、参考,实时生成图像、视频、3D、LoRA 训练,免费 100 单位/天；Basic $9；Pro $35；Max $70；Business $200,实时画布（50ms 延迟边画边出）+ 自研 Krea 2 开源模型 + 64+ 模型聚合,4.2M/月，「自研基座+聚合」双轨，LoRA 训练与 Nodes 工作流面向专业用户,4.2M（Toolify）,krea ai、krea、krea 2、krea2、image enhancer,美国 13.43%、俄罗斯 12.55%、印度 8.02%、巴西 5.13%、英国 4.38%
WaveSpeedAI,https://wavespeed.ai/,开发者、创作者、ComfyUI 用户,文本、图片、API,AI 图像、视频、音频,按量付费（$1 免费额度；Sora 2 低至 $0.1/条等）,多模型 API 聚合（Sora 2/Veo/Kling/Hailuo/Seedance），按量计费便宜，ComfyUI 节点集成,1.9M/月，开发者导向的价格屠夫，Sora 2 关停后成为低价替代入口,1.9M（Toolify）,wavespeed ai、wavespeed、wavespeedai、meme generator,美国 21.33%、印度 6.21%、意大利 4.06%、巴西 3.62%、英国 3.42%
SeaArt,https://www.seaart.ai/,AI 绘画爱好者、动漫创作者、小语种市场用户,文本、图片、模型,AI 图像、视频,免费 150 算力/天；订阅 300-3500 算力/日,免费额度慷慨（150 算力/天）+ 12 种语言本地化 + 模型生态，避开英语市场主攻小语种,21.7M/月，「闷声发大财」典型——日本 29.55% 流量，成都团队，MRR $122 万,21.7M（AIPURE）,seaart、seaart ai、seart、sea art、seeart,日本 29.55%、美国 8.77%、巴西 7.57%、俄罗斯 3.84%、越南 3.04%
Freepik,https://www.freepik.com/,设计师、营销人员、内容创作者,文本、图片,素材、AI 图像、AI 视频,免费 + Premium（Magnific 创意套件约 €9.5/月起）,3 亿素材库 + AI 生成（Mystic/Flux/Imagen）一体化，视频生成是新增长点,100M/月超级流量入口，素材平台向 AI 生成转型的代表,100M（AIPURE）；Ahrefs 搜索流量 56M,freepik、ai image generator、freepick、freepic,印度 13.31%、巴西 9.4%、美国 7.65%、印尼 5.69%、俄罗斯 5.11%
Canva,https://www.canva.com/,所有人（非设计师）、营销团队、教育,文本、模板、图片,设计稿、AI 视频、图像、网站,免费；Pro $15/月,设计平民化 + AI 2.0（对话式设计/Code 2.0），月活 2.65 亿,681M/月，a16z 评为全球使用最广的消费级 AI Web 应用之一,681M（venuelabs）,canva、canva ai、canva video,美国 22.14%、巴西 7.81%、印度 7.47%、印尼 7.41%、菲律宾 5.32%
Aura AI,https://auraai.app/,创作者、社媒运营,文本、图片,AI 视频（聚合 Sora 2/Veo 3.1/Kling O3/Grok 等 20+ 模型）、图像,Starter $29/月；Pro $59/月；Premium $99/月,一个平台用所有顶级模型，无水印 HD 输出，Reference-to-Video 是其主打功能页之一,新兴聚合器，多模型对比工作流的代表,未知,未知,未知
Kensa,https://www.kensa.cc/,电商视频团队、多模型对比用户,文本、图片,AI 视频（聚合 Sora 2/Veo 3.1/Kling 3/Seedance/Wan）,$9.90/月起（积分制）,多模型聚合 + 统一积分 + 电商优化工作流，$9.90/月低价,内容营销驱动（大量对比评测博客），Sora 2 关停后引导迁移 Seedance 2.0，响应迅速,未知,未知,未知
Hedra,https://www.hedra.com/,角色内容创作者、meme 制作者、音乐/口播视频,图片（角色）、音频/文本,会说话/唱歌的角色视频（Character-3）,免费；Basic $15/月；Creator $30/月；Pro $75/月,照片+音频生成带表情/手势/相机运动的说话视频，全脸表演建模是技术差异，a16z $32M A 轮,3.6M/月，「AI 婴儿说播客」等病毒式玩法发源地，角色驱动生成的代表,3.6M（AIPURE）,hedra ai、hedra、hydra ai,美国 16.11%、巴西 12.86%、俄罗斯 10.13%、印度 5.41%、西班牙 3.49%
D-ID,https://www.d-id.com/,企业、SaaS 开发者、营销人员,图片、文本、音频,会说话的数字人视频、实时交互数字人,免费试用（含水印）；$29/月起；企业定制,静态照片转说话视频的最快路径，API/自托管选项，Creative Reality Studio,459.7K-1.4M/月，数字人品类开创者，2025 红点设计奖,459.7K（Toolify）；AIPURE 口径 1.4M,d-id、d id、did、d-id ai、did ai,美国 9.7-11.67%、印度 7.92%、巴西 5.76-7.21%、泰国 4.43%、墨西哥 4.41%
Akool,https://akool.com/,营销创作者、电商、广告代理,图片、视频、文本,换脸视频、数字人、电商素材,免费；付费订阅,换脸+数字人+电商素材一体化，集成 Kling 2.5/Wan 2.5/Veo 3,603.5K-1.1M/月，日本市场占比 37% 的独特地域结构,603.5K（Toolify）,akool、akool ai、akool face swap,日本 37.07%、美国 14.14%、印尼 3.7%、巴基斯坦 3.6%、印度 3.14%
Colossyan,https://www.colossyan.com/,企业 L&D、HR、内部沟通,文本、PPT,AI 数字人培训视频（真实演员头像）,免费；Starter $27/月；Teams $59/月,企业培训视频的数字人方案，SCORM 合规,企业数字人赛道主要玩家,未知,未知,未知
Vidnoz,https://www.vidnoz.com/,免费用户、营销人员、教育,文本、图片,AI 数字人视频、头像、配音,免费 60 credits/天 + 订阅,免费 AI 视频生成（每天 60 credits），1900+ 数字人，聚合 Veo/Sora/Seedance/Wan/Hailuo,免费策略获客，聚合多模型的免费层代表,未知,未知,未知
Tavus,https://www.tavus.io/,开发者、销售团队、SaaS 产品,训练视频、文本,个性化数字人视频、实时对话视频 API,免费 + 订阅/API,开发者的「人类计算」平台——Phoenix-3 模型和实时对话 API，Sequoia/YC 投资,240.3K/月，API 导向的差异化（vs HeyGen 终端用户导向），与 Reference-to-Video 的个性化场景相关,240.3K（Toolify）；AIPURE 口径 291.6K,tavus、tavus ai,美国 49.7%、德国 6.25%、加拿大 4.53%、印尼 4.07%、泰国 3.56%
Argil,https://www.argil.ai/,创作者、UGC 营销、无脸视频创作者,文本、克隆形象,AI 克隆人短视频、UGC 视频,$9/月起；Classic $39/月；Pro $149/月,训练自己的 AI 克隆，2 分钟生成 UGC 视频，无脸视频赛道,84K-119.9K/月，AI 克隆 UGC 方向,84K（Toolify）；SeekTool 口径 119.9K,argil、argil ai,美国 18.8%、法国 7.98%、印度 5.93%、越南 5.66%、加拿大 3.72%
Submagic,https://submagic.co/,短视频创作者、社媒运营,视频、音频,带特效字幕的短视频、AI B-roll、剪辑,免费 3 视频；订阅（积分制）,「特效字幕」细分做到极致（28 种模板+关键词高亮），3 个月流量涨 10 倍，ARR 3 个月达 $1M,856.8K-1.2M/月，法国团队，「加字幕这件小事做成大生意」,856.8K（Toolify）；Toolify 排名口径 1.2M,submagic、submagic ai、descargar videos de tiktok、instagram downloader,美国 13.79-19.96%、印度 6.85-9.25%、巴西 5.61-6.74%、法国 4.64-4.75%、菲律宾 3.76-3.99%
Vizard,https://vizard.ai/,营销人员、教练、机构、播客,长视频,短视频切片（带字幕、品牌模板）,免费 60 分钟/月；Creator $14.5/月；Business $19.5/月,OpusClip 的替代品，免费额度大（60 分钟/月）,1.6M/月，长视频再利用赛道第二梯队头部,1.6M（Toolify/AIPURE）,vizard ai、vizard、opus clip、wizard ai,印度 12.27%、美国 11.86-13.99%、越南 7.38%、巴西 5.09-5.9%、巴基斯坦 3.99%
Pictory,https://pictory.ai/,营销人员、博主、课程创作者,文本、URL、脚本,带素材/配音/字幕的视频,$19/39/99/月（年付）,文章/URL 转视频，内容再利用,1.34M/月，老牌文本转视频工具,1.34M（creati.ai）；learnku 口径 1.37M,pictory、pictory ai、pictoryai、image to video ai,美国 15.99%、印度 10.6%、巴基斯坦 4.16%、英国 3.66%、巴西 3.55%
Kapwing,https://www.kapwing.com/,社媒团队、教育、meme 制作者,视频、图片、文本,编辑后视频、meme、协作内容,免费 + 订阅,协作式在线视频编辑，AI 字幕/meme 生成器引流,4.9M/月，「brat generator」等 meme 工具带来大量 SEO 流量,4.9M（Toolify）；MOGE 口径 5.56M,kapwing、brat generator、ai video editor、kapwing ai、caption generator,美国 17.96%、印度 11.94%、印尼 3.69%、俄罗斯 3.64%、巴西 2.86%
Wisecut,https://www.wisecut.video/,播客主、YouTuber、教育创作者,长视频,自动剪辑的短视频（去静音/字幕/BGM）,免费；$15.75/月起,基于故事板的自动剪辑，转录文本重排场景,流量较小（12.3K-185.7K/月，统计差异大），自动剪辑细分,12.3K（Toolify）；aitoolnet 口径 185.7K,wisecut、wisecut ai、wise cut,美国 32.32%、巴西 20.84%、印度 20.76%、印尼 7.77%、越南 4.95%
TimeBolt,https://www.timebolt.io/,播客主、说话类视频创作者,视频/音频,去静音/跳剪后的视频,$17/月、$97/年、$347 买断,自动检测并删除静音和口头禅，快速跳剪,买断制 $347 的独特定价,未知,未知,未知
LTX Studio,https://ltx.studio/,电影制作人、编剧、营销人员,故事概念/剧本,分镜、角色、整片（AI 电影制作）,免费 800 算力秒；Lite $12/月；Standard $28/月；Pro $100/月,Lightricks 出品，从概念到交付的 AI 电影工作室，整合 Veo 3,290.5K-1.9M/月，「AI 电影工作室」定位最完整的产品,290.5K（Toolify）；AIPURE 口径 1.9M,ltx studio、ltx、ltx ai、ltx video,美国 27.38-40.31%、印度 5.89-12.89%、巴西 7.95-14.32%、英国 3.26-6.1%、巴基斯坦 3.59%
